gene,frequency
CG6638,0.0
CG7607,0.0
CG7006,0.0
CG7028,0.0
CG7084,0.0
CG7133,0.0
CG7154,0.0
CG7339,0.0
CG6763,0.0
CG9346,0.0
CG9356,0.0
CG9377,0.0
CG8910,0.0
CG8916,0.0
CG8924,0.0
CG9098,0.0
CG9107,0.0
CG9510,0.0
CG9628,0.0
CG9630,0.0
CG9154,0.0
CG9267,0.0
CG9313,0.0
CG9336,0.0
CG9338,0.0
CG7706,0.0
CG7741,0.0
CG7744,0.0
CG7745,0.0
CG9389,0.0
CG9394,0.0
CG9426,0.0
CG9507,0.0
CG7956,0.0
CG7970,0.0
CG7991,0.0
CG8064,0.0
CG8079,0.0
CG7685,0.0
CG7692,0.0
CG7705,0.0
CG9782,0.0
CG9795,0.0
CG9837,0.0
CG9886,0.0
CG9896,0.0
CG9902,0.0
CG9932,0.0
CG9641,0.0
ClC-a,0.0
CG9945,0.0
CG9992,0.0
Chd1,0.0
Chd64,0.0
chm,0.0
Chro,0.0
CG9743,0.0
CG8861,0.0
Cht6,0.0
Cht8,0.0
Cib2,0.0
cindr,0.0
ckd,0.0
CkIIalpha-i1,0.0
Cks30A,0.0
CG9109,0.0
CG9114,0.0
CG8641,0.0
CG8740,0.0
CG8757,0.0
CG8777,0.0
CG8833,0.0
CG8837,0.0
CG13284,0.0
CG13300,0.0
CG13337,0.0
CG12947,0.0
CG12994,0.0
CG13012,0.0
CG13025,0.0
CG13053,0.0
Cpr31A,0.0
Cpr49Ae,0.0
Cpr64Ad,0.0
Cpr72Ec,0.0
cpx,0.0
Corin,0.0
coro,0.0
Cortactin,0.0
CR18275,0.0
CR31044,0.0
CR31451,0.0
CR31781,0.0
CR32111,0.0
COX8,0.0
Cp190,0.0
Cp7Fa,0.0
CG9650,0.0
CG9657,0.0
CG9663,0.0
CG9686,0.0
CG9689,0.0
CG9691,0.0
CG9727,0.0
CR12460,0.0
CNMaR,0.0
Col4a1,0.0
conu,0.0
CR43716,0.0
CR43724,0.0
CR43730,0.0
CR43825,0.0
CR43838,0.0
CG14183,0.0
CG14223,0.0
CG14230,0.0
CG13954,0.0
COX5A,0.0
Clk,0.0
cmpy,0.0
Cngl,0.0
CG14372,0.0
CG14401,0.0
CG14431,0.0
CG14104,0.0
CG14125,0.0
CG14141,0.0
CG14174,0.0
CG1418,0.0
CG13054,0.0
CG13055,0.0
CG13056,0.0
CG14234,0.0
CG14246,0.0
CG14274,0.0
CG14298,0.0
CG14322,0.0
CR44785,0.0
CR44816,0.0
CR44831,0.0
CR44832,0.0
CR44841,0.0
CR44843,0.0
CR44894,0.0
CR44417,0.0
CR43264,0.0
CR32652,0.0
CR32657,0.0
CR32745,0.0
CR40190,0.0
CR40354,0.0
CR41506,0.0
CR44779,0.0
CR43651,0.0
CR43701,0.0
CR42549,0.0
CR42736,0.0
CR43051,0.0
CR43087,0.0
CR43148,0.0
CR43152,0.0
CR43887,0.0
CR43900,0.0
CR43943,0.0
CR43283,0.0
CR43301,0.0
CR43363,0.0
CR43425,0.0
CR43426,0.0
CR45463,0.0
CR45473,0.0
CR45474,0.0
CR45482,0.0
CR45223,0.0
CR45237,0.0
CR45251,0.0
CR45267,0.0
CR44054,0.0
CR44092,0.0
CR44107,0.0
CR44116,0.0
CR45358,0.0
CR45381,0.0
CR45388,0.0
CR45416,0.0
CR44320,0.0
CR44332,0.0
CR44340,0.0
CR44357,0.0
CR44366,0.0
CR43958,0.0
CR43959,0.0
CR44023,0.0
CR44444,0.0
CR44458,0.0
CR44511,0.0
CR44662,0.0
CR44716,0.0
CR44718,0.0
CR44294,0.0
CR44317,0.0
CR46095,0.0
CR45875,0.0
CR45896,0.0
CR45910,0.0
CR45911,0.0
CR45926,0.0
CR45938,0.0
CR45961,0.0
CR44998,0.0
CR45007,0.0
CR45965,0.0
CR45972,0.0
CR45994,0.0
CR46003,0.0
CR46004,0.0
CR46006,0.0
CR45141,0.0
CR45175,0.0
CR44900,0.0
CR44914,0.0
CR44938,0.0
CR44951,0.0
CR44987,0.0
CR44997,0.0
CR45312,0.0
CR45332,0.0
CR45333,0.0
CR45018,0.0
CR45035,0.0
CR45128,0.0
CR45134,0.0
CR45137,0.0
CycE,0.0
Cyp12a4,0.0
Cyp12e1,0.0
Cyp49a1,0.0
cry,0.0
Crz,0.0
CrzR,0.0
Csas,0.0
Cyp4g15,0.0
Cyp4p3,0.0
Cyp6a13,0.0
Cyp6a17,0.0
Cyp6g1,0.0
Cyp6g2,0.0
Cyp9c1,0.0
cv-c,0.0
CR45533,0.0
CR45557,0.0
CR45620,0.0
CR45621,0.0
CR45668,0.0
CR45674,0.0
CR45684,0.0
Cyp4d2,0.0
CR45736,0.0
CR45758,0.0
CR45759,0.0
CR45778,0.0
CR45798,0.0
CR45806,0.0
CR45835,0.0
CR45507,0.0
Dad,0.0
dally,0.0
CG12316,0.0
CG12325,0.0
CG1234,0.0
CG12402,0.0
CG12470,0.0
CG12065,0.0
Dhfr,0.0
Daxx,0.0
Dbi,0.0
dbo,0.0
DCTN1-p150,0.0
Ddc,0.0
Df31,0.0
Dgk,0.0
CREG,0.0
crm,0.0
dgt1,0.0
Dh31,0.0
Dh44,0.0
Dh44-R1,0.0
Dh44-R2,0.0
Dhap-at,0.0
ct,0.0
cu,0.0
cv-2,0.0
CR46104,0.0
CR46268,0.0
CR46271,0.0
CR6900,0.0
crb,0.0
danr,0.0
DAT,0.0
dati,0.0
Cyp9f2,0.0
Cyp9f3,0.0
cype,0.0
Cys,0.0
D,0.0
CG13455,0.0
CG13531,0.0
CG1358,0.0
CG13594,0.0
CG13085,0.0
CG13203,0.0
CG13229,0.0
dan,0.0
CG13667,0.0
CG13689,0.0
CG13690,0.0
CG13698,0.0
CG13707,0.0
CG13376,0.0
CG13405,0.0
CG13408,0.0
CG1213,0.0
CG12179,0.0
CG12184,0.0
CG12236,0.0
CG12253,0.0
CG13616,0.0
CG13625,0.0
CG13631,0.0
DIP-gamma,0.0
DIP-iota,0.0
DIP-theta,0.0
DIP-zeta,0.0
dsx,0.0
dup,0.0
dve,0.0
Dys,0.0
disco,0.0
Dlg5,0.0
Dll,0.0
dlp,0.0
DIP-beta,0.0
DIP-delta,0.0
DIP-epsilon,0.0
DIP-eta,0.0
dlt,0.0
DNApol-alpha50,0.0
DNApol-alpha73,0.0
DNApol-epsilon255,0.0
DNApol-eta,0.0
DNaseII,0.0
Dis3,0.0
Dis3l2,0.0
D12,0.0
D19A,0.0
dnr1,0.0
Dok,0.0
Dop1R1,0.0
Dop2R,0.0
DopEcR,0.0
dpr1,0.0
Ets96B,0.0
