gene,frequency
sm,0.0
slp2,0.0
slp1,0.0
Slob,0.0
SLO2,0.0
SmydA-8,0.0
ap,0.0
AnxB9,0.0
Ant2,0.0
Anp,0.0
ana,0.0
amon,0.0
amd,0.0
alrm,0.0
alpha-Man-Ia,0.0
alphagamma-element:CR32865,0.0
Alp4,0.0
AlkB,0.0
Alk,0.0
Taf8,0.0
Alas,0.0
Akh,0.0
AGO3,0.0
Vps16A,0.0
Adk3,0.0
Adgf-D,0.0
ade5,0.0
ADD1,0.0
Ada2b,0.0
Act57B,0.0
tyn,0.0
twz,0.0
twit,0.0
twe,0.0
Alh,0.0
Vps13B,0.0
Vps11,0.0
vn,0.0
Vmat,0.0
vir-1,0.0
VGlut,0.0
VAChT,0.0
Uxs,0.0
Utx,0.0
Usp47,0.0
UQCR-6.4,0.0
upSET,0.0
up,0.0
APC4,0.0
unc-4,0.0
unc-13-4A,0.0
Uhg3,0.0
Ugt86Dd,0.0
Ugt35b,0.0
Ubi-p5E,0.0
Uba2,0.0
U4-U6-60K,0.0
U2A,0.0
U26,0.0
TyrR,0.0
18w,0.0
ara,0.0
app,0.0
unk,0.0
tnc,0.0
tna,0.0
Tl,0.0
tkv,0.0
TkR99D,0.0
TkR86C,0.0
Tk,0.0
tj,0.0
Tis11,0.0
tio,0.0
tinc,0.0
Timp,0.0
tim,0.0
TwdlG,0.0
Thor,0.0
Tgt,0.0
Tgi,0.0
tfc,0.0
TfAP-2,0.0
tey,0.0
Tet,0.0
teq,0.0
Ten-m,0.0
Ten-a,0.0
Teh3,0.0
tefu,0.0
tara,0.0
Tango2,0.0
ths,0.0
tutl,0.0
tut,0.0
tud,0.0
tth,0.0
Tsr1,0.0
Tsp5D,0.0
Tsp42En,0.0
Tsp42Eg,0.0
Tsp42Ef,0.0
tsh,0.0
Tsc1,0.0
trv,0.0
Trpm,0.0
Trpgamma,0.0
Tnks,0.0
trol,0.0
Trn,0.0
trn,0.0
TrissinR,0.0
Trim9,0.0
Trh,0.0
trbd,0.0
toy,0.0
TotA,0.0
Top3beta,0.0
Top2,0.0
Toll-7,0.0
Toll-6,0.0
tok,0.0
TrpA1,0.0
Osi2,0.0
Oseg4,0.0
ort,0.0
Orct,0.0
Orcokinin,0.0
Or63a,0.0
Or43b,0.0
Optix,0.0
onecut,0.0
ome,0.0
omd,0.0
Oli,0.0
olf413,0.0
scyl,0.0
Oct-TyrR,0.0
Octbeta2R,0.0
Octbeta1R,0.0
oc,0.0
Obp49a,0.0
Obp18a,0.0
obe,0.0
Oatp74D,0.0
Oatp58Dc,0.0
Oatp30B,0.0
Oatp26F,0.0
Oamb,0.0
nvy,0.0
nvd,0.0
ogre,0.0
Pi3K59F,0.0
ph-p,0.0
PHDP,0.0
pHCl-1,0.0
PGRP-LE,0.0
Pgd,0.0
pgant2,0.0
pdm3,0.0
Pdk1,0.0
Pdh,0.0
Pdfr,0.0
Pde8,0.0
Pde6,0.0
osp,0.0
Pde11,0.0
Pcyt2,0.0
pcm,0.0
Pcd,0.0
pb,0.0
Pax,0.0
pasi2,0.0
pasha,0.0
park,0.0
Pal2,0.0
pad,0.0
otp,0.0
otk,0.0
Ote,0.0
Pde1c,0.0
NHP2,0.0
NfI,0.0
neur,0.0
Neto,0.0
NetB,0.0
nerfin-2,0.0
Nep4,0.0
NELF-B,0.0
Nelf-A,0.0
ND-AGGG,0.0
Ndae1,0.0
Nbr,0.0
natalisin,0.0
Nup214,0.0
nAChRalpha7,0.0
nAChRalpha6,0.0
nAChRalpha1,0.0
Nab2,0.0
Naa60,0.0
na,0.0
MYPT-75D,0.0
Myo81F,0.0
myo,0.0
Myd88,0.0
mv,0.0
mus81,0.0
mus201,0.0
mus101,0.0
Nadsyn,0.0
Nup205,0.0
Nup153,0.0
Nufip,0.0
nub,0.0
NtR,0.0
Ntl,0.0
nst,0.0
Nrx-IV,0.0
nrv2,0.0
nrv1,0.0
Nrt,0.0
Nrg,0.0
Nplp2,0.0
NimC4,0.0
NPFR,0.0
Npc2b,0.0
Npc2a,0.0
norpA,0.0
Nop60B,0.0
nolo,0.0
Nna1,0.0
Nlg4,0.0
Nlg3,0.0
NLaz,0.0
nkd,0.0
NKAIN,0.0
NK7.1,0.0
ninaE,0.0
Dh31-R,0.0
Rpp30,0.0
RpL41,0.0
RpL11,0.0
robo3,0.0
robo2,0.0
rngo,0.0
RNaseP:RNA,0.0
Rme-8,0.0
Rint1,0.0
rig,0.0
RhoGEF3,0.0
RhoGEF2,0.0
RhoGAP92B,0.0
Picot,0.0
RhoGAP100F,0.0
RhoBTB,0.0
rho,0.0
Rh7,0.0
Rh50,0.0
rgn,0.0
Rgk3,0.0
Rgk2,0.0
Rgk1,0.0
rg,0.0
Rfx,0.0
RFeSP,0.0
repo,0.0
regucalcin,0.0
RhoGAP102A,0.0
s-cup,0.0
scrt,0.0
scro,0.0
scrib,0.0
Scr,0.0
Scp2,0.0
scaf,0.0
sca,0.0
sbr,0.0
sav,0.0
Sap130,0.0
sano,0.0
salr,0.0
rpr,0.0
S6kII,0.0
RYa-R,0.0
rush,0.0
RunxA,0.0
run,0.0
ru,0.0
rtp,0.0
Rtf1,0.0
Rtc1,0.0
rst,0.0
Rs1,0.0
Rrp46,0.0
RpS17,0.0
RpS16,0.0
salm,0.0
Ptp4E,0.0
Ptip,0.0
psidin,0.0
Psf3,0.0
Psc,0.0
Prp8,0.0
pros,0.0
ProRS-m,0.0
Proc,0.0
pre-rRNA:CR45845,0.0
pre-lola-G,0.0
Ppox,0.0
ppk29,0.0
rec,0.0
Poxn,0.0
Pop2,0.0
pont,0.0
Pol32,0.0
pnt,0.0
PKD,0.0
Pkc53E,0.0
Pka-R1,0.0
Pka-C3,0.0
PK2-R2,0.0
PIG-V,0.0
PIG-C,0.0
PIG-B,0.0
Piezo,0.0
Pp2C1,0.0
rdo,0.0
rdhB,0.0
Rcd1,0.0
Rca1,0.0
Rbp9,0.0
Rbp6,0.0
Rbp1-like,0.0
Rassf,0.0
RapGAP1,0.0
ranshi,0.0
Ranbp9,0.0
Ranbp16,0.0
Raf,0.0
rad,0.0
Ptp69D,0.0
Rab27,0.0
Pzl,0.0
pyr,0.0
pyd,0.0
Pxn,0.0
PVRAP,0.0
Pvr,0.0
Pvf3,0.0
put,0.0
pug,0.0
Ptx1,0.0
Ptth,0.0
PTP-ER,0.0
Ptp99A,0.0
Rac2,0.0
CG15478,0.0
CG1545,0.0
CG15449,0.0
CG15394,0.0
CG1537,0.0
CG15365,0.0
CG15362,0.0
CG15356,0.0
CG15343,0.0
CG15312,0.0
CG15236,0.0
CG15210,0.0
CG15209,0.0
CrebA,0.0
CG15201,0.0
CG15153,0.0
CG15107,0.0
CG15084,0.0
CG15082,0.0
CG15073,0.0
CG15043,0.0
CG15040,0.0
CG1504,0.0
CG14989,0.0
CG14984,0.0
CG14967,0.0
CG14945,0.0
CG14907,0.0
CG15203,0.0
CG17329,0.0
CG17193,0.0
CG17186,0.0
CG17030,0.0
CG16972,0.0
CG16890,0.0
CG1688,0.0
CG16863,0.0
CG16798,0.0
CG16789,0.0
CG16771,0.0
CG16743,0.0
CG1657,0.0
CG1648,0.0
CG1552,0.0
CG1628,0.0
CG15894,0.0
CG15881,0.0
CG15870,0.0
CG15864,0.0
CG1582,0.0
CG15765,0.0
CG15760,0.0
CG15728,0.0
CG1572,0.0
CG1561,0.0
CG15601,0.0
CG15579,0.0
CG15537,0.0
CG1647,0.0
CG14024,0.0
CG1402,0.0
CG13996,0.0
CG13995,0.0
CG13954,0.0
CG13890,0.0
CG13876,0.0
CG13739,0.0
CG13708,0.0
CG13698,0.0
CG13685,0.0
CG13631,0.0
CG13599,0.0
CG14882,0.0
CG1358,0.0
CG13579,0.0
CG13482,0.0
CG13455,0.0
CG13408,0.0
CG13373,0.0
CG13325,0.0
CG13300,0.0
CG13295,0.0
CG13288,0.0
CG13229,0.0
CG13204,0.0
CG13203,0.0
CG13185,0.0
CG13594,0.0
CG14864,0.0
CG14795,0.0
CG14778,0.0
CG14762,0.0
CG14757,0.0
CG14749,0.0
CG14711,0.0
CG14687,0.0
CG1468,0.0
CG14669,0.0
CG14646,0.0
CG14645,0.0
CG14562,0.0
CG14561,0.0
CG14075,0.0
CG14509,0.0
CG14459,0.0
CG14431,0.0
CG14372,0.0
CG14322,0.0
CG14314,0.0
CG14298,0.0
CG14286,0.0
CG14274,0.0
CG14230,0.0
CG14186,0.0
CG14141,0.0
CG14117,0.0
CG14082,0.0
CG14516,0.0
CG32032,0.0
CG32017,0.0
CG31997,0.0
CG31974,0.0
CG31935,0.0
CG31886,0.0
CG31869,0.0
CG31814,0.0
CG31773,0.0
CG31760,0.0
CG31751,0.0
CG3168,0.0
CG31676,0.0
CG17359,0.0
CG31674,0.0
CG31663,0.0
CG31637,0.0
CG31549,0.0
CG31548,0.0
CG31475,0.0
CG31436,0.0
CG31381,0.0
CG31365,0.0
CG31345,0.0
CG31324,0.0
CG31323,0.0
CG31248,0.0
CG31235,0.0
CG31675,0.0
CG33090,0.0
CG33052,0.0
CG32801,0.0
CG3277,0.0
CG32758,0.0
CG32700,0.0
CG3270,0.0
CG32698,0.0
CG32683,0.0
CG32549,0.0
CG32547,0.0
CG32533,0.0
CG32457,0.0
CG32432,0.0
CG32036,0.0
CG32407,0.0
CG32369,0.0
CG32365,0.0
CG32333,0.0
CG32284,0.0
CG32264,0.0
CG3225,0.0
CG32221,0.0
CG32204,0.0
CG32137,0.0
CG32085,0.0
CG32075,0.0
CG32055,0.0
CG32052,0.0
CG32428,0.0
CG2694,0.0
CG2652,0.0
CG2493,0.0
CG2269,0.0
CG2233,0.0
CG2211,0.0
CG2209,0.0
CG2202,0.0
CG2147,0.0
CG2129,0.0
CG2082,0.0
CG1951,0.0
CG18659,0.0
CG18628,0.0
CG31224,0.0
CG18336,0.0
CG18208,0.0
CG18190,0.0
CG18171,0.0
CG18067,0.0
CG17985,0.0
CG1792,0.0
CG17896,0.0
CG17855,0.0
CG17839,0.0
CG17802,0.0
CG17778,0.0
CG17716,0.0
CG1737,0.0
CG18600,0.0
CG31223,0.0
CG31221,0.0
CG31176,0.0
CG31174,0.0
CG31122,0.0
CG31041,0.0
CG31038,0.0
CG30466,0.0
CG30463,0.0
CG30460,0.0
CG30419,0.0
CG30377,0.0
CG3036,0.0
CG30285,0.0
CG2712,0.0
CG30197,0.0
CG30158,0.0
CG30116,0.0
CG3009,0.0
CG30089,0.0
CG30069,0.0
CG30060,0.0
CG30020,0.0
CG2974,0.0
CG2926,0.0
CG2911,0.0
CG2906,0.0
CG2839,0.0
CG2837,0.0
CG30271,0.0
beat-IIIb,0.0
beat-IIb,0.0
beat-IIa,0.0
beat-Ic,0.0
beat-Ib,0.0
beat-Ia,0.0
Bdp1,0.0
bdl,0.0
BCAS2,0.0
baz,0.0
Bap111,0.0
babos,0.0
bab2,0.0
CG13148,0.0
B4,0.0
b,0.0
az2,0.0
axo,0.0
AttA,0.0
ATPsynO,0.0
ATPsynbeta,0.0
ATP8B,0.0
Atg16,0.0
Atg101,0.0
Atf3,0.0
Asx,0.0
AstC-R2,0.0
AstC-R1,0.0
bab1,0.0
Bug22,0.0
btsz,0.0
bt,0.0
brun,0.0
Bruce,0.0
bru2,0.0
bru1,0.0
Brd8,0.0
brat,0.0
br,0.0
bol,0.0
BOD1,0.0
bocks,0.0
bnl,0.0
beat-IIIc,0.0
bma,0.0
Blm,0.0
bin3,0.0
Bili,0.0
bif,0.0
bi,0.0
BHD,0.0
betaTub56D,0.0
beat-VII,0.0
beat-VI,0.0
beat-Vc,0.0
beat-Vb,0.0
beat-Va,0.0
beat-IV,0.0
bnb,0.0
wisp,0.0
whd,0.0
Whamy,0.0
wfs1,0.0
28SrRNA-Psi:CR40596,0.0
wake,0.0
vvl,0.0
Vsx2,0.0
Vsx1,0.0
Vps8,0.0
Vps39,0.0
Vps16B,0.0
wapl,0.0
Arc1,0.0
AstC,0.0
Acsl,0.0
acj6,0.0
Ace,0.0
Ac78C,0.0
Ac13E,0.0
abs,0.0
ab,0.0
aay,0.0
7B2,0.0
5-HT7,0.0
5-HT2B,0.0
5-HT2A,0.0
5-HT1B,0.0
5-HT1A,0.0
Ugt86Da,0.0
AstA-R1,0.0
AstA,0.0
AsnS,0.0
Ask1,0.0
ash1,0.0
Arv1,0.0
aru,0.0
Arr2,0.0
Arr1,0.0
Arp5,0.0
ari-2,0.0
Argk,0.0
Arfrp1,0.0
zyd,0.0
Wnk,0.0
ZnT33D,0.0
zld,0.0
zfh2,0.0
zfh1,0.0
Zcchc7,0.0
ZC3H3,0.0
Zasp52,0.0
ZAP3,0.0
yuri,0.0
yata,0.0
y,0.0
wun2,0.0
wry,0.0
Wnt4,0.0
ZnT41F,0.0
CG12236,0.0
CG12182,0.0
CG12106,0.0
CG12065,0.0
CG11927,0.0
CG11902,0.0
CG11899,0.0
CG11836,0.0
CG11808,0.0
CG11791,0.0
CG11686,0.0
CG11638,0.0
CG11626,0.0
Bx,0.0
CG11426,0.0
CG11417,0.0
CG11413,0.0
CG11399,0.0
CG11319,0.0
CG11317,0.0
CG11294,0.0
CG11191,0.0
CG11178,0.0
CG11164,0.0
CG11159,0.0
CG11125,0.0
CG11123,0.0
CG11085,0.0
CG11593,0.0
CG13126,0.0
CG13124,0.0
CG13117,0.0
CG13054,0.0
CG13012,0.0
CG12994,0.0
CG12992,0.0
CG12964,0.0
CG12926,0.0
CG12910,0.0
CG12896,0.0
CG12883,0.0
CG12825,0.0
CG12772,0.0
CG12239,0.0
CG1275,0.0
CG12730,0.0
CG12728,0.0
CG12717,0.0
CG12672,0.0
CG12605,0.0
CG12594,0.0
CG12541,0.0
CG12535,0.0
CG12502,0.0
CG12484,0.0
CG12325,0.0
CG12320,0.0
CG12290,0.0
CG12769,0.0
CG10038,0.0
CG10031,0.0
cer,0.0
Cenp-C,0.0
Cdk2,0.0
Cdc23,0.0
CD98hc,0.0
Ccn,0.0
CCKLR-17D3,0.0
CCHa2,0.0
CCHa1-R,0.0
CCDC53,0.0
CCAP-R,0.0
Cbp80,0.0
CG1103,0.0
caup,0.0
cathD,0.0
Cat,0.0
caps,0.0
Cap-H2,0.0
calypso,0.0
Calx,0.0
CAH2,0.0
Caf1-105,0.0
Cad87A,0.0
Ca-alpha1T,0.0
ca,0.0
c(3)G,0.0
C15,0.0
caz,0.0
CG10979,0.0
CG10970,0.0
CG10948,0.0
CG10947,0.0
CG10863,0.0
CG10804,0.0
CG10799,0.0
CG10747,0.0
CG10669,0.0
CG10602,0.0
CG10600,0.0
CG10527,0.0
CG10513,0.0
CG10472,0.0
CG10075,0.0
CG10463,0.0
CG10433,0.0
CG10384,0.0
CG10366,0.0
CG10365,0.0
CG10361,0.0
CG10353,0.0
CG10344,0.0
CG10321,0.0
CG10311,0.0
CG10274,0.0
CG10208,0.0
CG10165,0.0
CG10132,0.0
CG10466,0.0
CR40190,0.0
CR32745,0.0
CR32733,0.0
CR32218,0.0
CR31781,0.0
CR31451,0.0
CR31044,0.0
CR30055,0.0
CR18275,0.0
CR17025,0.0
